record,age,sex,weight,hungry,fast_food,fruit,vegetable,soft_drink,cigarette,alcohol
1,13,Female,NA,Rarely,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,3 times per day,All 30 days,All 30 days
2,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
3,14,Male,Average weight,Never,0 days,2 times per day,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
4,16,Male,Average weight,Never,3 days,1 time per day,I did not eat vegetables during the past 7 days,2 times per day,0 days,1 or 2 days
5,13,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,NA,0 days
6,13,Male,Average weight,Never,2 days,3 times per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
7,14,Female,NA,Sometimes,5 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 or more times per day,0 days,0 days
8,12,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
9,13,Male,NA,Most of the time,0 days,4 or more times per day,4 or more times per day,4 or more times per day,0 days,20 to 29 days
10,14,Female,NA,Rarely,0 days,2 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
11,15,Male,Average weight,Never,4 days,1 time per day,4 to 6 times during the past 7 days,2 times per day,3 to 5 days,1 or 2 days
12,13,Female,NA,Never,1 day,4 or more times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
13,13,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
14,14,Female,Average weight,Never,2 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
15,14,Female,Average weight,Never,NA,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,All 30 days,All 30 days
16,13,Female,NA,Never,0 days,4 or more times per day,1 to 3 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
